"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","leafly","Least Flycatcher","Empidonax minimus","2012-2022","breeding",-12.3,-24.6,-4.39,7.14,3.41,10.8,"Forests:  Temperate Eastern","Forests:  Temperate Western"
"Massachusetts","leater1","Least Tern","Sternula antillarum","2012-2022","breeding",6.54,-6.09,21.4,-8.45,-13.3,-4.33,"Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","lessca","Lesser Scaup","Aythya affinis","2012-2022","nonbreeding",-23.5,-31.3,-14,-20.6,-24.1,-18.1,"Wetlands:  Lakes and Rivers","Wetlands:  Freshwater Marsh"
"Massachusetts","lesyel","Lesser Yellowlegs","Tringa flavipes","2012-2022","breeding",-21.5,-32.2,-6.61,-12.7,-20.8,-5.92,"Wetlands:  Boreal",NA
"Massachusetts","libher","Little Blue Heron","Egretta caerulea","2012-2022","breeding",-12.1,-20.8,1.4,-4.96,-8.65,-1,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"Massachusetts","loeowl","Long-eared Owl","Asio otus","2012-2022","nonbreeding",-53.7,-72.5,-35.3,-27.2,-33.5,-15,"Forests:  Temperate Generalist",NA
"Massachusetts","logshr","Loggerhead Shrike","Lanius ludovicianus","2012-2022","breeding",-3.49,-13.9,16.9,-26.1,-28.7,-19.7,"Grasslands:  Temperate","Aridlands:  Desert Scrub"
"Massachusetts","lotduc","Long-tailed Duck","Clangula hyemalis","2012-2022","nonbreeding",-5.4,-12.6,1.22,-24.9,-31,-19.8,"Wetlands:  Tundra",NA
"Massachusetts","louwat","Louisiana Waterthrush","Parkesia motacilla","2012-2022","breeding",-10.9,-17.5,-2.56,4.62,1.18,8.57,"Wetlands:  Lakes and Rivers","Forests:  Temperate Eastern"
"Massachusetts","magwar","Magnolia Warbler","Setophaga magnolia","2012-2022","breeding",-37,-46.8,-28.6,-13.4,-17.5,-10.3,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","mallar3","Mallard","Anas platyrhynchos","2012-2022","breeding",-11.2,-17.8,-6.28,-12.4,-16,-9.14,"Wetlands:  Generalist",NA
"Massachusetts","marwre","Marsh Wren","Cistothorus palustris","2012-2022","breeding",-5.56,-17,52.3,13.5,8.9,18.3,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","merlin","Merlin","Falco columbarius","2012-2022","breeding",2.56,-6.61,17.9,9.5,1.59,22.2,"Forests:  Boreal","Open Country:  Habitat Mosaic"
"Massachusetts","moudov","Mourning Dove","Zenaida macroura","2012-2022","breeding",-11.2,-14.8,-8.35,-9.76,-12.3,-6.65,"Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Massachusetts","mouwar","Mourning Warbler","Geothlypis philadelphia","2012-2022","breeding",-24.5,-40.6,-18.6,5.64,-1.97,10.8,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","mutswa","Mute Swan","Cygnus olor","2012-2022","breeding",-23.4,-31.7,-16.2,-2.5,-10.7,4.66,"Wetlands:  Generalist",NA
"Massachusetts","naswar","Nashville Warbler","Leiothlypis ruficapilla","2012-2022","breeding",-44.7,-49.5,-27.4,-14.1,-17,-11.8,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","norbob","Northern Bobwhite","Colinus virginianus","2012-2022","year_round",-33.1,-48.7,-20.2,-31.1,-37.5,-27.5,"Open Country:  Habitat Mosaic","Forests:  Tropical Dry"
"Massachusetts","norcar","Northern Cardinal","Cardinalis cardinalis","2012-2022","year_round",9.26,6.54,12.3,9.51,7.35,12.1,"Open Country:  Habitat Mosaic","Aridlands:  Desert Scrub"
"Massachusetts","norfli","Northern Flicker","Colaptes auratus","2012-2022","breeding",-0.299,-7.04,3.3,-7.84,-10.7,-2.06,"Forests:  Generalist",NA
"Massachusetts","norhar2","Northern Harrier","Circus hudsonius","2012-2022","breeding",-28.3,-44.6,-6.96,-23.8,-28.2,-20.3,"Grasslands:  Temperate","Wetlands:  Freshwater Marsh"
"Massachusetts","normoc","Northern Mockingbird","Mimus polyglottos","2012-2022","breeding",-2.98,-12.5,6.37,-9.94,-11.8,-7.49,"Open Country:  Habitat Mosaic",NA
"Massachusetts","norpar","Northern Parula","Setophaga americana","2012-2022","breeding",17.6,-0.223,35.8,26.7,23.1,36.5,"Forests:  Temperate Eastern","Forests:  Boreal"
"Massachusetts","norpin","Northern Pintail","Anas acuta","2012-2022","nonbreeding",-33.3,-43.1,-27.8,-10.5,-13.9,-5.28,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Tundra"
